artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,track_name_id
1,2021,3,11,4198,44,838079900,98,108,327,17,153,114,0,1,0.65,0.72,0.02,0.0,0.07,0.05,100
1,2011,1,1,14739,43,1163620694,88,112,2163,5,519,108,0,0,0.47,0.68,0.0,0.0,0.13,0.03,101
2,2012,1,1,26792,32,1093605526,69,113,695,0,458,144,0,1,0.37,0.53,0.07,0.0,0.21,0.1,102
1,2022,12,2,213,6,179659294,7,6,0,0,48,130,1,0,0.18,0.44,0.76,0.0,0.11,0.03,103
1,2023,7,7,99,15,36912123,21,52,6,1,0,121,1,0,0.49,0.78,0.0,0.0,0.17,0.04,104
1,1985,2,17,41751,25,1205951614,101,32,2655,0,666,112,1,0,0.54,0.81,0.36,0.0,0.11,0.06,105
1,2014,12,9,21164,36,1791000570,80,65,476,0,14,100,0,1,0.47,0.52,0.3,0.0,0.06,0.33,106
1,2023,2,25,2988,59,201660859,74,102,145,18,925,150,0,0,0.3,0.78,0.24,0.0,0.12,0.08,107
2,2023,2,8,893,38,248088961,19,23,24,3,88,120,0,1,0.96,0.71,0.18,0.0,0.34,0.17,108
1,2020,7,24,7324,22,607123776,25,81,61,1,44,90,1,0,0.42,0.61,0.53,0.0,0.09,0.03,109
2,2023,6,22,201,11,55842345,19,117,8,1,74,128,0,1,0.79,0.63,0.33,0.0,0.15,0.04,110
2,2023,3,10,5120,48,211050784,161,115,246,9,638,143,1,0,0.31,0.87,0.04,0.04,0.08,0.04,111
1,2022,7,15,2346,27,342897938,69,12,38,8,64,139,1,1,0.68,0.68,0.03,0.0,0.26,0.04,112
2,2022,12,9,763,26,2762,21,110,21,9,71,162,1,0,0.78,0.64,0.19,0.0,0.11,0.04,113
1,2021,6,11,457,24,330346424,8,116,4,3,2,92,1,1,0.39,0.6,0.31,0.0,0.07,0.03,114
3,2011,8,16,6074,52,1953533826,201,44,6551,2,0,146,1,0,0.88,0.93,0.03,0.0,0.1,0.08,115
1,2019,11,17,21915,34,2322580122,437,115,1212,12,0,95,1,0,0.56,0.82,0.12,0.0,0.34,0.05,116
2,2017,8,11,15032,30,2355719893,221,96,1078,2,136,115,0,0,0.12,0.3,0.93,0.0,0.1,0.03,117
2,2023,6,21,871,32,66902503,25,59,32,5,88,128,1,1,0.59,0.65,0.1,0.0,0.26,0.05,118
1,2023,5,15,451,33,96273746,10,126,7,0,148,130,0,1,0.69,0.83,0.03,0.0,0.27,0.05,119
1,2023,1,2,1783,27,430977451,26,124,15,1,22,127,0,1,0.74,0.77,0.36,0.0,0.11,0.04,120
1,2011,1,1,9389,46,284819874,24,122,282,3,368,150,1,0,0.2,0.86,0.21,0.0,0.09,0.09,121
2,2023,1,11,5724,44,721975598,119,108,254,29,22,122,0,1,0.5,0.63,0.27,0.0,0.09,0.05,122
1,2007,4,20,13985,25,1217120710,30,80,588,1,1,140,1,0,0.2,0.85,0.0,0.0,0.07,0.05,123
4,2023,6,2,1051,16,109276132,31,37,31,0,189,140,1,0,0.22,0.54,0.46,0.0,0.12,0.08,124
3,2022,12,2,1682,46,276259178,24,90,30,1,176,119,0,1,0.48,0.53,0.18,0.0,0.18,0.34,125
